Date,Event,unifiedAppName,"May 20 2024, 12:00AM - May 15 2025, 7:09PM"
2024-07-15,All Events [Unique Users],BTCloudWorkForTeams,1129
2024-07-15,All Events [Unique Users],BTCloudWorkMobile,20739
2024-07-15,All Events [Unique Users],BTCloudWorkWeb,718
2024-07-15,All Events [Unique Users],BusinessConnectDesktop,26860
2024-07-15,All Events [Unique Users],BusinessConnectForTeams,1620
2024-07-15,All Events [Unique Users],BusinessConnectMobile,41865
2024-07-15,All Events [Unique Users],BusinessConnectWeb,1583
2024-07-15,All Events [Unique Users],OfficeAtHandDesktop,37688
2024-07-15,All Events [Unique Users],OfficeAtHandForTeams,1084
2024-07-15,All Events [Unique Users],OfficeAtHandMobile,38762
2024-07-15,All Events [Unique Users],OfficeAtHandWeb,3811
2024-07-15,All Events [Unique Users],RCAppBizDesktop,423
2024-07-15,All Events [Unique Users],RCAppBizWeb,43
2024-07-15,All Events [Unique Users],RCAppClassicDesktop,1
2024-07-15,All Events [Unique Users],RCAppClassicWeb,0
2024-07-15,All Events [Unique Users],RCAppDesktoP,0
2024-07-15,All Events [Unique Users],RCAppDesktop,1266589
2024-07-15,All Events [Unique Users],RCAppMobile,998650
2024-07-15,All Events [Unique Users],RCAppSoloMobile,0
2024-07-15,All Events [Unique Users],RCAppWeb,148939
2024-07-15,All Events [Unique Users],RCIntuneAppMobile,3099
2024-07-15,All Events [Unique Users],RCSoloAppMobile,38
2024-07-15,All Events [Unique Users],RainbowOfficeDesktop,1
2024-07-15,All Events [Unique Users],RainbowOfficeMobile,1
2024-07-15,All Events [Unique Users],RainbowOfficeWeb,0
2024-07-15,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-07-15,All Events [Unique Users],RingCentral for Teams,20
2024-07-15,All Events [Unique Users],RingCentral,0
2024-07-15,All Events [Unique Users],RingCentralForTeams,67818
2024-07-15,All Events [Unique Users],RingExForGoogle,0
2024-07-15,All Events [Unique Users],RoomsController,451
2024-07-15,All Events [Unique Users],RoomsHost RCVideo,2
2024-07-15,All Events [Unique Users],RoomsHost,478
2024-07-15,All Events [Unique Users],TELUS Business Connect for Teams,3
2024-07-15,All Events [Unique Users],Unify Office,0
2024-07-15,All Events [Unique Users],UnifyOfficeDesktop,9423
2024-07-15,All Events [Unique Users],UnifyOfficeMobile,3840
2024-07-15,All Events [Unique Users],UnifyOfficeWeb,423
2024-07-15,All Events [Unique Users],VodafoneBusinessDesktop,13672
2024-07-15,All Events [Unique Users],VodafoneBusinessMobile,14339
2024-07-15,All Events [Unique Users],VodafoneBusinessWeb,529
2024-07-22,All Events [Unique Users],AT&T Office@Hand for Teams,3
2024-07-22,All Events [Unique Users],AvayaCloudDesktop,72619
